price,floor_area,beds,baths,property_type,floor_area_unit,price_sq_mt
598500.0,300.0,4.0,3.0,Detached,m²,1995.0
450000.0,232.0,3.0,4.0,Detached,m²,1940.0
449000.0,262.0,4.0,2.0,Detached,m²,1714.0
225000.0,86.0,3.0,2.0,Semi-D,m²,2616.0
275000.0,135.0,4.0,3.0,Semi-D,m²,2037.0
194950.0,90.0,2.0,2.0,Apartment,m²,2166.0
165000.0,74.0,3.0,1.0,Semi-D,m²,2230.0
295000.0,47.0,1.0,1.0,Apartment,m²,6277.0
685000.0,119.0,4.0,1.0,Semi-D,m²,5756.0
250000.0,107.0,3.0,3.0,Semi-D,m²,2336.0
425000.0,205.0,4.0,2.0,Detached,m²,2073.0
850000.0,323.0,5.0,8.0,Detached,m²,2632.0
269000.0,122.0,3.0,2.0,Detached,m²,2205.0
900000.0,133.0,4.0,1.0,Semi-D,m²,6767.0
310000.0,156.0,4.0,3.0,Semi-D,m²,1987.0
325000.0,203.0,3.0,2.0,Detached,m²,1601.0
325000.0,48.0,2.0,1.0,Detached,m²,6771.0
